"journal","discipline","fullTitle"
"J Investig Dermatol Symp Proc","Dermatology","The journal of investigative dermatology. Symposium proceedings / the Society for Investigative Dermatology, Inc. [and] European Society for Dermatological Research"
"J Investig Med","Medicine","Journal of investigative medicine : the official publication of the American Federation for Clinical Research"
"J Ir Dent Assoc","Dentistry","Journal of the Irish Dental Association"
"J Knee Surg","General Surgery","The journal of knee surgery"
"J Korean Acad Nurs","Nursing","Journal of Korean Academy of Nursing"
"J Korean Med Sci","Medicine","Journal of Korean medical science"
"J Ky Med Assoc","Medicine","The Journal of the Kentucky Medical Association"
"J La State Med Soc","Medicine","The Journal of the Louisiana State Medical Society : official organ of the Louisiana State Medical Society"
"J Lab Autom","Clinical Laboratory Techniques","Journal of laboratory automation"
"J Lab Clin Med","Medicine","The Journal of laboratory and clinical medicine"
"J Labelled Comp Radiopharm","Pharmacology","Journal of labelled compounds &radiopharmaceuticals"
"J Laparoendosc Adv Surg Tech","General Surgery","Journal of laparoendoscopic &advanced surgical techniques. Part "
"J Laryngol Otol","Otolaryngology","The Journal of laryngology and otology"
"J Law Med","Medicine","Journal of law and medicine"
"J Law Med Ethics","Medicine","The Journal of law, medicine &ethics : a journal of the American Society of Law, Medicine &Ethics"
"J Learn Disabil","Psychology","Journal of learning disabilities"
"J Leg Med","Medicine","The Journal of legal medicine"
"J Lesbian Stud","Behavioral Sciences","Journal of lesbian studies"
"J Leukoc Biol","Allergy and Immunology","Journal of leukocyte biology"
"J Lipid Res","Biochemistry","Journal of lipid research"
"J Liposome Res","Biochemistry","Journal of liposome research"
"J Long Term Eff Med Implants","Medicine","Journal of long-term effects of medical implants"
"J Low Genit Tract Dis","Gynecology","Journal of lower genital tract disease"
"J Magn Reson","Diagnostic Imaging","Journal of magnetic resonance (San Diego, Calif. : 1997)"
"J Magn Reson Imaging","Diagnostic Imaging","Journal of magnetic resonance imaging : JMRI"
"J Mammary Gland Biol Neoplasia","Neoplasms","Journal of mammary gland biology and neoplasia"
"J Manag Care Pharm","Pharmacology","Journal of managed care pharmacy : JMCP"
"J Manag Care Spec Pharm","Pharmacology","Journal of managed care &specialty pharmacy"
"J Manipulative Physiol Ther","Physiology","Journal of manipulative and physiological therapeutics"
"J Marital Fam Ther","Unclassified","Journal of marital and family therapy"
"J Mass Dent Soc","Dentistry","Journal of the Massachusetts Dental Society"
"J Mass Spectrom","Chemistry Techniques, Analytical","Journal of mass spectrometry : JMS"
"J Mater Sci Mater Med","Medicine","Journal of materials science. Materials in medicine"
"J Matern Fetal Neonatal Med","Medicine","The journal of maternal-fetal &neonatal medicine : the official journal of the European Association of Perinatal Medicine, the Federation of Asia and Oceania Perinatal Societies, the International Society of Perinatal Obstetricians"
"J Math Biol","Biology","Journal of mathematical biology"
"J Mech Behav Biomed Mater","Medicine","Journal of the mechanical behavior of biomedical materials"
"J Med Assoc Ga","Medicine","Journal of the Medical Association of Georgia"
"J Med Assoc Thai","Medicine","Journal of the Medical Association of Thailand = Chotmaihet thangphaet"
"J Med Biogr","Medicine","Journal of medical biography"
"J Med Case Rep","Medicine","Journal of medical case reports"
"J Med Chem","Medicine","Journal of medicinal chemistry"
"J Med Dent Sci","Medicine","Journal of medical and dental sciences"
"J Med Econ","Medicine","Journal of medical economics"
"J Med Eng Technol","Medicine","Journal of medical engineering &technology"
"J Med Entomol","Medicine","Journal of medical entomology"
"J Med Ethics","Medicine","Journal of medical ethics"
"J Med Food","Medicine","Journal of medicinal food"
"J Med Genet","Medicine","Journal of medical genetics"
"J Med Humanit","Medicine","The Journal of medical humanities"
"J Med Imaging Radiat Oncol","Medicine","Journal of medical imaging and radiation oncology"
"J Med Internet Res","Medicine","Journal of medical Internet research"
"J Med Invest","Medicine","The journal of medical investigation : JMI"
"J Med Liban","Medicine","Le Journal médical libanais. The Lebanese medical journal"
"J Med Libr Assoc","Medicine","Journal of the Medical Library Association : JMLA"
"J Med Life","Medicine","Journal of medicine and life"
"J Med Microbiol","Medicine","Journal of medical microbiology"
"J Med Philos","Medicine","The Journal of medicine and philosophy"
"J Med Pract Manage","Medicine","The Journal of medical practice management : MPM"
"J Med Primatol","Medicine","Journal of medical primatology"
"J Med Radiat Sci","Medicine","Journal of medical radiation sciences"
"J Med Screen","Medicine","Journal of medical screening"
"J Med Syst","Medicine","Journal of medical systems"
"J Med Toxicol","Medicine","Journal of medical toxicology : official journal of the American College of Medical Toxicology"
"J Med Ultrason (2001)","Medicine","Journal of medical ultrasonics (2001)"
"J Med Virol","Medicine","Journal of medical virology"
"J Membr Biol","Molecular Biology","The Journal of membrane biology"
"J Ment Health","Psychology","Journal of mental health (Abingdon, England)"
"J Ment Health Policy Econ","Psychology","The journal of mental health policy and economics"
"J Mich Dent Assoc","Dentistry","The Journal of the Michigan Dental Association"
"J Microbiol","Microbiology","Journal of microbiology (Seoul, Korea)"
"J Microbiol Biotechnol","Biotechnology","Journal of microbiology and biotechnology"
"J Microbiol Immunol Infect","Immunology","Journal of microbiology, immunology, and infection = Wei mian yu gan ran za zhi"
"J Microbiol Methods","Microbiology","Journal of microbiological methods"
"J Microencapsul","Pharmacology","Journal of microencapsulation"
"J Microsc","Diagnostic Imaging","Journal of microscopy"
"J Microw Power Electromagn Energy","Unclassified","The Journal of microwave power and electromagnetic energy : a publication of the International Microwave Power Institute"
"J Midwifery Womens Health","Midwifery","Journal of midwifery &women's health"
"J Minim Invasive Gynecol","Gynecology","Journal of minimally invasive gynecology"
"J Miss State Med Assoc","Medicine","Journal of the Mississippi State Medical Association"
"J Mol Biol","Molecular Biology","Journal of molecular biology"
"J Mol Cell Biol","Molecular Biology","Journal of molecular cell biology"
"J Mol Cell Cardiol","Cardiology","Journal of molecular and cellular cardiology"
"J Mol Diagn","Molecular Biology","The Journal of molecular diagnostics : JMD"
"J Mol Endocrinol","Endocrinology","Journal of molecular endocrinology"
"J Mol Evol","Molecular Biology","Journal of molecular evolution"
"J Mol Graph Model","Molecular Biology","Journal of molecular graphics &modelling"
"J Mol Histol","Cell Biology","Journal of molecular histology"
"J Mol Microbiol Biotechnol","Biotechnology","Journal of molecular microbiology and biotechnology"
"J Mol Model","Molecular Biology","Journal of molecular modeling"
"J Mol Neurosci","Neurology","Journal of molecular neuroscience : MN"
"J Mol Recognit","Molecular Biology","Journal of molecular recognition : JMR"
"J Morphol","Anatomy","Journal of morphology"
"J Mot Behav","Physiology","Journal of motor behavior"
"J Muscle Res Cell Motil","Cell Biology","Journal of muscle research and cell motility"
"J Music Ther","Complementary Therapies","Journal of music therapy"
"J N J Dent Assoc","Dentistry","Journal of the New Jersey Dental Association"
"J Nanobiotechnology","Nanotechnology","Journal of nanobiotechnology"
"J Nanosci Nanotechnol","Nanotechnology","Journal of nanoscience and nanotechnology"
"J Nat Med","Medicine","Journal of natural medicines"
"J Nat Prod","Pharmacology","Journal of natural products"
"J Natl Black Nurses Assoc","Nursing","Journal of National Black Nurses' Association : JNBNA"
"J Natl Cancer Inst","Neoplasms","Journal of the National Cancer Institute"
"J Natl Compr Canc Netw","Neoplasms","Journal of the National Comprehensive Cancer Network : JNCCN"
"J Natl Med Assoc","Medicine","Journal of the National Medical Association"
"J Negat Results Biomed","Medicine","Journal of negative results in biomedicine"
"J Nephrol","Nephrology","Journal of nephrology"
"J Nerv Ment Dis","Neurology","The Journal of nervous and mental disease"
"J Neural Eng","Biomedical Engineering","Journal of neural engineering"
"J Neural Transm (Vienna)","Unclassified","Journal of neural transmission (Vienna, Austria : 1996)"
"J Neurobiol","Neurology","Journal of neurobiology"
"J Neurochem","Neurology","Journal of neurochemistry"
"J Neurocytol","Neurology","Journal of neurocytology"
"J Neuroeng Rehabil","Neurology","Journal of neuroengineering and rehabilitation"
"J Neurogenet","Neurology","Journal of neurogenetics"
"J Neuroimaging","Neurology","Journal of neuroimaging : official journal of the American Society of Neuroimaging"
"J Neuroimmune Pharmacol","Pharmacology","Journal of neuroimmune pharmacology : the official journal of the Society on NeuroImmune Pharmacology"
"J Neuroimmunol","Neurology","Journal of neuroimmunology"
"J Neuroinflammation","Neurology","Journal of neuroinflammation"
"J Neurointerv Surg","General Surgery","Journal of neurointerventional surgery"
"J Neurol","Neurology","Journal of neurology"
"J Neurol Phys Ther","Neurology","Journal of neurologic physical therapy : JNPT"
"J Neurol Sci","Neurology","Journal of the neurological sciences"
"J Neurol Surg A Cent Eur Neurosurg","General Surgery","Journal of neurological surgery. Part A, Central European neurosurgery"
"J Neurooncol","Neoplasms","Journal of neuro-oncology"
"J Neuroophthalmol","Neurology","Journal of neuro-ophthalmology : the official journal of the North American Neuro-Ophthalmology Society"
"J Neuropathol Exp Neurol","Neurology","Journal of neuropathology and experimental neurology"
"J Neurophysiol","Neurology","Journal of neurophysiology"
"J Neuropsychiatry Clin Neurosci","Neurology","The Journal of neuropsychiatry and clinical neurosciences"
"J Neuropsychol","Neurology","Journal of neuropsychology"
"J Neuroradiol","Neurology","Journal of neuroradiology. Journal de neuroradiologie"
"J Neurosci","Neurology","The Journal of neuroscience : the official journal of the Society for Neuroscience"
"J Neurosci Methods","Neurology","Journal of neuroscience methods"
"J Neurosci Nurs","Neurology","The Journal of neuroscience nursing : journal of the American Association of Neuroscience Nurses"
"J Neurosci Res","Neurology","Journal of neuroscience research"
"J Neurosurg","Neurology","Journal of neurosurgery"
"J Neurosurg Anesthesiol","Anesthesiology","Journal of neurosurgical anesthesiology"
"J Neurosurg Pediatr","Pediatrics","Journal of neurosurgery. Pediatrics"
"J Neurosurg Spine","Neurology","Journal of neurosurgery. Spine"
"J Neurotrauma","Traumatology","Journal of neurotrauma"
"J Neurovirol","Neurology","Journal of neurovirology"
"J Nippon Med Sch","Medicine","Journal of Nippon Medical School = Nippon Ika Daigaku zasshi"
"J Nucl Cardiol","Cardiology","Journal of nuclear cardiology : official publication of the American Society of Nuclear Cardiology"
